ID,Title,Description,Need Driver,Data Type,Segment,Objective,Target Measurement Parameters,Current State of Data,Impact if Data is Unavailable,Benefits if Data is available
DN-011 L,In situ lunar surface plasma environment characterization,"Measure the plasma environment at the lunar south pole, including observations in the terminator region, permanently shadowed regions (PSRs), and in sunlit and shaded areas influenced by topography and spacecraft-induced wakes. Long-term measurements are needed to capture variations when the Moon is exposed to the solar wind, within Earth’s magnetotail, and during dynamic space weather conditions. These observations should also include measurements of electric potential on both the spacecraft and the lunar surface.",Lunar Surface Natural Environment Characterization,In Situ Measurement,HLR,"HS-03 LM
AS-01 LM
TH-03 L","Measure plasma electron and ion density and energy (0-30keV), secondary populations (secondary electron emission and photoemission), and spacecraft and lunar surface electric potential. Provide data in a format that allows comparison with other orbit-based plasma measurements and future measurements.","Current estimates of the lunar plasma environment are from orbital satellite data, modeling, and limited in-situ surface measurements with temporal and spatial limitations.",Data used to validate the environment definitions in the M2M Design Specification for Natural Environments (DSNE). Plasma environment definitions are used to assess the risk of electrostatic discharge resulting from interactions between the plasma environment and surfaces. These data also support modeling of the dust environment and triboelectric charging analyses.,"Validated lunar surface plasma environments ensure accurate inputs to spacecraft charging assessments, which are critical for identifying and mitigating electrostatic discharge risk. Electrostatic discharges can interfere with communications, damage avionics, and introduce shock hazards to astronauts, making reliable environment definitions critical for mission safety and success. "
DN-012 L,In situ lunar surface radiation environment measurements and space weather monitoring,"Measure the radiation environment on the lunar surface at the south pole. Measurements should include flux and energy spectra of electrons, protons, and heavy-ions from solar particle events and galactic cosmic rays, and secondary or albedo neutrons generated by interactions of energetic particles with the lunar regolith. Neutron spectrum measurements inside a lunar lander or habitat or on the surface of the moon are needed to validate models used in the assessment crew radiation exposure. Long-term measurements are needed to capture variations when the Moon is exposed to the solar wind, within Earth’s magnetotail, and during dynamic space weather conditions.",Lunar Surface Natural Environment Characterization,In Situ Monitoring,HLR,"HS-01 LM
AS-01 LM
TH-03 L
LI-09 L","Measure neutron flux spectrum up to at least 100 MeV.  Measure charged particle (electron, proton, heavy- ion) flux and energy spectra at the same time. ","Current estimates of the lunar radiation environment are from orbital satellite data, modeling, and limited in-situ surface measurements with temporal and spatial limitations. A limited number of neutron flux measurements have been made on the Lunar surface or by devices in Lunar orbit, but the energy range for these measurements did not exceed 20 MeV.  Neutron flux spectrum measurements have also been made on ISS, during Mars transit, and on the surface of Mars, but the energy range for these measurements was also limited to neutrons below 20 MeV.  Models that have not been validated with space measurements for neutrons greater than 20 MeV are currently used to predict crew radiation exposure.  The energy region between 1 MeV – 1 GeV accounts for most of the neutron induced cancer risk, and validation of model calculations over just the low energy region provides little information on model accuracy at higher energies, because the physical processes producing higher energy particles differ from those producing lower energy particles. Note that while the LunaNet Interoperability Specifications (LNIS V.5) provides protocols for space weather monitoring/alert services, the sources of data to provide these alerts are not well-defined at present.","Data enables accurate characterization of the average and extreme radiation environments encountered by crew and surface systems. Neutrons produced in the Lunar regolith may contribute as much as ~30% of effective dose incurred by crew on surface missions, but models used to predict this environment have not been validated with surface measurements.","Long-term, in-situ radiation environment monitoring will improve the fidelity of radiation exposure assessments. Measurement data will be used to quantify the uncertainty in models that predict neutron environments, an important part of the crew exposure assessment and risk prediction process.  Additionally, extending the neutron spectral measurements over longer periods of time may also contribute to several Moon to Mars science objectives."
DN-013 L,"In situ measurements of the composition, distribution, and abundance of volatiles in the near-surface lunar south pole","Measure the distribution, abundance, and composition of other ices/volatiles that may exist at the lunar south pole both within and outside of permanently shadowed regions to better understand the population of gases that may become volatilized/released during Artemis activities. As concentrations are likely too low to be detected from orbit, a series of direct, ground-based measurements should be taken at several different locations. Data should be taken within and nearby PSRs as different species have variable stability temperatures.",Lunar Surface Natural Environment Characterization,In Situ Measurement,HLR,"LPS-03 LM
AS-01 LM
TH-03 L","Volatile abundance to at least 1 m depth, with a 0.1 wt% detection limit. Abundance at greater depth may have relevance to rocket landing effects.",No community agreement on concentrations of lunar volatiles at the lunar south pole just below the surface.,"While the Moon is typically thought of as ""dry,"" there is evidence that volatiles (in addition to water) exist in the lunar regolith, especially at the south pole. There have been no firm detections in situ; as such, the nature and distribution of these volatiles is unknown and could potentially pose a hazard to surface operations. The release of potentially corrosive or toxic gases could occur via heating when landing or sublimation during operations (EVA/rover). Further, the presence of these volatiles could impact regolith geotechnical properties like cohesion or stability when disturbed, which poses a threat to large landers.","The type, abundance, and distribution of volatiles within the near-surface environments of the lunar south pole would greatly improve our understanding of their impacts on terrain stability and contamination potential. "
DN-014 L,High resolution lunar rock size distribution and morphology at the lunar south pole,Constrain the size-frequency distribution and shape of lunar rocks/regolith that exist below the resolution of existing imagery (sub-meter scale) at the south pole to better understand the lunar surface environment as it pertains to lunar surface activities. Activities could include survey instruments/cameras of surrounding terrain to capture areal rock distributions as well as sampling instruments of the regolith.,Lunar Surface Natural Environment Characterization,In Situ Measurement,HLR,"SE-05 LM
LI-06 L
TH-03 L
OP-05 LM","Measurements of particle sizes and frequencies from length scales > 10 um to 1 m not via discrete bins or sieve sizes, but measurements capable of detecting all unique sizes, shapes, and aspect ratios in this range. Understand how these distributions change with depth/spatially.","Surface images from Surveyor, Apollo, Lunokhod, and Chang’e missions have been used to derive quantitative estimates of rock abundance on the surface of the Moon at multiple locations. Orbital instruments can unambiguously detect rocks of 1m or greater; depending on the height of the feature in question, submeter detection may be possible.","The population of sub-meter scale rocks poses a hazard to landers and rovers, especially during landing phases which require precise navigational inputs to prevent tip-over. Incomplete datasets about morphology and size of regolith/rocks poses a risk to understanding how and where to safely operate surface assets.",In-situ surveys of surface regolith/rocks would provide valuable data on the distribution and abundance of sub-meter scale rocks that would allow for refined size-frequency models. Improved models could impact landing site selection and traverse paths.
DN-015 L,Flux and size measurements of lunar meteoroid ejecta,Measure the mass and velocity range of particles ejected via impact processes from primary meteoroids on the lunar surface. Continuous measurements should be taken at the lunar south pole to evaluate the risk these particles pose to human exploration activities. ,Lunar Surface Natural Environment Characterization,In Situ Measurement,HLR,"AS-01 LM
LI-09 L
TH-03 L","Measure ejecta particle speed (from 0.1-4.8 km/s), mass (10-6 - 102 g), direction, and frequency.",An Apollo-era detector (LEAM) was flown to measure this for very small particles but did not conclusively detect impacts.,"Potential damage to landers, rovers, habitats, suits, etc. from unaccounted for ejecta fluxes. Primary meteoroids may directly damage surfaces assets, but the associated ejected material will be more abundant (though at lower velocities). ","While this data has been modelled, in-situ measurements will help constraint the actual ejecta environment to better assess the risk these projectiles pose to surface assets. The mass/speed distribution may also differ at the South Pole compared to the equator due to different impactor populations, so having datasets for the lunar south pole would be invaluable. "
DN-016 L,Lunar surface seismic activity characterization and monitoring,"Establish a baseline of seismic events in the polar region for design of structural elements, EVA operations, and lander systems.  While this includes continuous monitoring of moonquakes,  it also includes events such as incoming meteoroids and spent stages of rockets.  These types of event monitoring provide real time feedback to Artemis Elements to enable emergency and survival operations of Elements and crew.",Lunar Surface Natural Environment Characterization,In Situ Monitoring,HLR,"AS-01 LM
LI-09 L
TH-03 L",Measure magnitude and frequency of seismic events at multiple locations in the lunar south pole region.,"The Apollo Passive Seismic Network of 5 experiments set up across the lunar surface operated from 1969-1977 to gather seismic data.  Re-analysis of data has shown over 35,000 moonquakes.","Lack of this seismic data means risk due to seismic events must be accepted.  The south polar region has young, active thrust faults.  One of the strongest shallow moonquakes ever recorded by the Apollo network was a magnitude 5.5 moonquake in the south polar region. This is equivalent to moderate to strong ground shaking over 40 kilometers.",Acquisition of this data prior to Element design will help to create more resilient and robust designs to last long lifetimes. Real-time data can be used to enhance Element survivability and crew safety.
DN-017 L,In situ measurement of particle velocity during lunar plume surface interaction (PSI) phenomena,"Characterize the lunar regolith ejected by rocket exhaust plumes interacting with the lunar surface at different sites and under different plume conditions (i.e. lander types). During final descent and landing, material may be lofted toward the landing vehicle and/or ejected away. As material leaves the influence of the exhaust plume, and given the lack of a substantial lunar atmosphere, it will travel on a trajectory dictated by those initial conditions.",Lunar Surface Induced Environment Characterization,In Situ Measurement,HLR,"SE-07 LM
LI-05 L
TH-03 L","Regolith particle sizes, speeds, and angles of ejection caused by rocket exhaust interacting with the lunar regolith.","Modeling reports for preliminary site comparisons have been generated using regolith data gathered during Apollo coupled with engine performance data. Plume surface interaction is a complex phenomenon, and current estimates are insufficient to accurately predict the behavior of regolith and its effects on vehicle performance.
SCALPSS instrument suite successfully captured stereo imagery during Blue Ghost's final descent and soft landing. Similar imaging suites could be used to provide comparative data for different lander configurations and lunar terrain types.","Increased uncertainty in risk to landing vehicle and surrounding assets caused by debris strike or the ""sandblasting"", abrasive effects of ejected material. Increased uncertainty to scientific operations near the landing site, as the probability of surface alteration caused by ejected material may not be well constrained. Inability to determine PSI effects during landing and ascent events, including vehicle and hardware lunar dust loading. Inability to predict visibility expectations for spacecraft during ascent and landing. Inability to determine effectiveness of radar and range finding hardware, particularly those used during landing and ascent events.",Understanding and characterization of this will translate to vehicle hardware which is better designed to withstand the effects of PSI during ascent and landing events and mitigate the risk of damage to this hardware. Increased confidence in ejecta hazard analyses that affect the landing vehicle and nearby assets. Tighter design constraints for protection from hazards/operating conditions. Better understanding of induce landing environment to inform lunar surface science goals.
DN-018 L,In situ measurement of landing site alteration imaging at small scale on the lunar surface,"Characterize the landing site alteration caused by rocket exhaust plumes interacting with the lunar surface at different sites and under different plume conditions (i.e. lander types). During final descent and landing, rocket exhaust may erode material which changes surface topography or alters surface properties. This has the potential to create a hazardous landing environment or affect scientific outcomes.",Lunar Surface Induced Environment Characterization,In Situ Measurement,HLR,"SE-07 LM
LI-05 L
TH-03 L","Measurement of landing site topography before, during, and after vehicle plume-surface interactions at the cm-m scale. Measurement of regolith geotechnical properties in the affected area. Measurement of chemical contamination of the affected area.","Modeling reports for preliminary site comparisons have been generated using regolith data gathered during Apollo coupled with engine performance data. Plume surface interaction is a complex phenomenon, and current estimates are insufficient to accurately predict the behavior of regolith and its effects on vehicle performance. Currently available topographic data comes predominantly from LRO's LOLA instrument. Localized mosaic DEMs are available at as low as 5 m/pixel ins resolution. Higher resolution DEMs can be made using shape-from-shading (SfS, or photoclinometry) image processing, where several high-resolution NAC images taken at various times lighting conditions) are used to create higher resolution DEMs over smaller areas. The resolution of these DEMs is dependent on the resolution of the available NAC images. 
Alternative solutions include cameras on landing and return vehicles, which can monitor landing site alterations induced by PSI during descent/ascent.  Orbital imagery may be able to achieve desired resolution with high performance instrumentation and appropriate orbital configuration on a new mission.","Increased uncertainty in risk to landing vehicle caused by surface alteration. Increased uncertainty to scientific operations near the landing site if regolith alteration or contamination is not well understood. Inability to level the spacecraft properly due to lack of understanding of the terrain could lead to loss of crew, loss of vehicle and loss of mission (or combinations thereof). Inability to properly account for terrain topography in ascent and descent scenarios can potentially complicate abort response, potentially leading to loss of crew, loss of mission and loss of vehicle.","Increased confidence in analyses of surface alteration during final descent and landing. Informs vehicle design and operational mitigations. Informs scientific community regarding experiment placement and operations. Enhancement of vehicle preparedness for ascent and landing, increased ability of lunar rovers to traverse varied lunar terrain, determination of abort scenarios during ascent and landing. Understanding of the terrain also contributes to better response to terrain conditions through modifications to leveling hardware for lunar landers."
DN-019 L,In situ measurement of lunar regolith (dust) particle flux and charge,"Measure the electric charge and flux of regolith (dust) particles impacting spacecraft surfaces in the lunar south pole region. Measurements over long durations and during dynamic events, such as PSI, are needed to characterize the variability of lunar dust accumulation and electrostatic charging on vehicles and assets, including EVA suits.",Lunar Surface Induced Environment Characterization,In Situ Measurement,HLR,"AS-01 LM
TH-03 L",Measure electric charge of individual regolith particles upon impact and the flux of dust particles over time with a temporal resolution sufficient to capture transient events such as PSI. ,"Current estimates are from modeling, ground testing, and limited in-situ surface measurements with temporal and spatial limitations. ","The absence of in-situ measurements introduces uncertainty in predicting dust accumulation and its effects on spacecraft systems, including its contribution to spacecraft charging and electrostatic discharge. This uncertainty limits the effectiveness of dust mitigation strategies and increases the risk to crewed and robotic assets operating in dusty environments.","Measurements enable the development and validation of models for dust charging, transport, and surface accumulation. These models will inform the design of spacecraft materials and systems that are more resilient to dust-related effects. Additionally, the data will support the refinement of operational procedures and risk assessments for surface missions, enhancing mission safety and longevity. "
DN-001 M,"Geotechnical properties of Mars regolith, rocks, and bedrock at diverse geographic locations","Characterize Martian regolith physical and mechanical properties as a function of depth (min depth extent: 1 meter), area, and terrain slope/features, to understand regolith properties and their variability across distinct regions. Characterize the rock and bedrock physical and mechanical properties, fracturing, and suitability for landing across distinct regions.",Mars Surface Natural Environment Characterization,In Situ Measurement,H2M,"MI-04 M
TH-06 M
TH-07 M
OP-05 LM","Particle and rock size distribution, particle morphology and density, bulk rock density, bedrock spatial fracture frequency, size, and depth, other geotechnical properties including but not limited to porosity, permeability, bulk density, bearing capacity, cohesion. ""Fine fraction"" of particle size distribution (particles < ~50 microns), variation with depth up to ~3 m. These properties may differ from location to location.","Rock, regolith and dust properties, as well as rock abrasion data sets, gathered from on-board rover tools and scientific instruments. Rock and regolith properties were estimated from thermal emission spectroscopy data aboard Mars Reconnaissance Orbiter. Potential data from images of rover tracks to determine bearing capacity and compaction properties. Limited data exists on particle size distribution on the surface of Mars. Dust properties from lander observations.","Limitations in in-situ regolith sampling and characterization increase uncertainty to, for example, analyses for interactions between footpads and regolith, rocket engine blast effects (erosion and ejection of material), etc. Limited datasets and lack of Mars regolith samples result in uncertainty about the stability and behavior of the Martian surface when interacting with a rocket plume. Uncertainty in environmental parameters leads to needing increased robustness, and thus mass, for surface assets. ","Increased confidence in landing, plume-surface interaction, and trafficability analyses, which may increase flexibility and allow more areas and terrain to be considered for mission operations. Constraining the geotechnical characteristics of Martian surface materials, will decrease uncertainty in the landed environment, influencing both the robustness of the landers and areas available for exploration. For example, better constraints on slope stability could arise from regolith strength measurements."
DN-002 M,Surface and subsurface water content at surface exploration sites,Characterize the spatial and depth variability of near-surface water content at geographically diverse sites – including seasonal variations to enable reliable predictions of site-specific conditions. Water sources could include ice deposits and hydrated minerals.,Mars Surface Natural Environment Characterization,In Situ Measurement,H2M,"TH-06 M
TH-07 M",Measure the relative concentration and spatial extent of water in the form of hydrated minerals and subsurface ice at the surface and near-surface of geographically diverse sites. Measure potential seasonal variation in water concentrations at potential surface exploration sites.,"Observations of water ice and frost by landers at high latitudes. Water maps based on combining available Mars orbital instrument datasets (Mars Odyssey neutron and gamma ray spectroscopy, as well as thermal emission imaging data; Mars Express visible and infrared imaging spectrometer data; and Mars Reconnaissance Orbiter shallow radar, climate sounder, imaging spectrometer, and context and high-resolution imaging data). Rover-mounted instruments have detected hydrated minerals at select sites. The Phoenix lander has directly measured and sampled Martian ice.","Hydrated minerals or ice could vaporize during a landing event, potentially enhancing surface erosive effects. Potentially detrimental impacts to lander stability.","Increased confidence in landing, plume-surface interaction, and trafficability analyses, which may increase flexibility and allow more areas and terrain to be considered for mission operations. Concentrations of hydrated material on the surface or near-subsurface may indicate the presence of usable in-situ resources. Further resource exploration activities would be needed to determine if available water concentrations are sufficient to constitute a usable reserve. "
DN-003 M,Localized and predictive Mars surface weather characterization,"Refine site-specific understanding and models of atmospheric pressure, density, winds, and dust/aerosol loading at the Martian surface, including diurnal and seasonal variability, to reduce uncertainty, plume-surface interaction, and operations planning.",Mars Surface Natural Environment Characterization,In Situ Measurement,H2M,"TH-06 M
TH-07 M","Measurement of atmospheric pressure, wind velocity, temperature, atmospheric composition at diverse surface sites on Mars.","Pressure data from landers/rovers, atmospheric profiles/models. Mars global reference atmospheric model (Mars GRAM) and orbiter data for atmospheric composition. Mars GRAM is built to inform EDL and ascent simulations; uncertainties increase at surface level.","Increased uncertainty in modeling plume structure and resultant effects on surface erosion. Effects of Mars atmospheric conditions could impact the behavior of the Martian surface when interacting with a rocket plume. Uncertainty in environmental parameters leads to needing increased robustness, and thus mass, for surface assets. Martian wind can spread plume materials outside expected range and potentially contaminating science sites and impacting nearby exploration assets.","Increasing understanding of surface atmospheric density, winds, and dust effects on Mars would result improved landing safety in potential low visibility conditions induced by PSI. Additionally, exploration operations on the Martian surface will be heavily impacted by weather conditions which can be mitigated or planned for using forecasting models."
DN-004 M,Human-scale EDL atmospheric entry environment characterization,"Refine models of vertical variability in atmospheric pressure, density, winds, temperature, and aerosol loading in the Martian atmosphere across altitudes relevant to human-class EDL. Improve temporal and spatial coverage to reduce uncertainty in descent and ascent trajectory predictions.",Mars Surface Natural Environment Characterization,In Situ Measurement,H2M,"TH-06 M
TH-07 M","Measurement of atmospheric pressure, wind velocity, temperature, atmospheric composition at various altitudes above representative surface sites.","Pressure data from instrumented EDL systems, atmospheric profiles/models. Mars global reference atmospheric model (Mars GRAM) and orbiter data for atmospheric composition. Mars GRAM is built to inform EDL and ascent simulations; uncertainties increase at surface level. ","Without further understanding of the Martian atmosphere, operational risks for human-scale EDL may not be able to close. No human-scale descent vehicle has ever descended through the Martian atmosphere and landed safely on the surface.",Mars robotic landers have consistently landed downwind of their intended targets. Increased understanding of the Martian atmosphere may lead to increased landing accuracy.
DN-005 M,In situ measurement of particle velocity during Martian plume surface interaction (PSI) phenomena,"Characterize Martian regolith ejected by rocket exhaust plumes interacting with the surface. During final descent and landing, material may be lofted toward the landing vehicle and/or ejected away. As material leaves the influence of the exhaust plume, it will travel on a trajectory dictated by those initial conditions and interactions with the Martian atmosphere.",Mars Surface Induced Environment Characterization,In Situ Measurement,H2M,"SE-07 LM
TH-06 M
TH-07 M","Regolith particle sizes, speeds, and angles of ejection caused by rocket exhaust interacting with the Martian regolith. Local atmospheric density during plume surface interaction.",Exhaust plume captured by engineering cameras aboard MSL and Mars2020 Sky Crane. Potentially able to estimate particle velocity from videos of descent but would not be able to characterize full descent profile of a human class lander.,"Increased uncertainty in risk to landing vehicle and surrounding assets caused by debris strike or the ""sandblasting"", abrasive effects of ejected material. Increased uncertainty to scientific operations near the landing site, as the probability of surface alteration caused by ejected material may not be well constrained.",Increased confidence in ejecta hazard analyses that affect the landing vehicle and nearby assets. Tighter design constraints for protection from hazards/operating conditions. Better understanding of induced landing environment to inform Mars surface science goals.
DN-006 M,In situ measurement of landing site alteration imaging at small scale on Mars,"Measure landing site alteration caused by rocket exhaust plumes interacting with the Martian surface. During final descent and landing, rocket exhaust may erode material which changes surface topography or alters surface properties. This has the potential to create a hazardous landing environment or affect scientific outcomes.",Mars Surface Induced Environment Characterization,In Situ Measurement,H2M,"SE-07 LM
TH-06 M
TH-07 M","Measurement of landing site topography before, during, and after vehicle plume-surface interactions at cm scale or better. Measurement of regolith geotechnical properties in the affected area. Measurement of chemical contamination of the area affected by the exhaust plume.",Flight reconstructions of erosion caused by InSight and Mars Phoenix. Analysis of MSL and Mars2020 descent videos could be performed to determine surface alteration at some level of uncertainty.,Increased uncertainty in risk to landing vehicle caused by surface alteration. Increased uncertainty to scientific operations near the landing site if regolith alteration or contamination is not well understood.,Increased confidence in analyses of surface alteration during final descent and landing. Informs vehicle design and operational mitigations. Informs scientific community regarding experiment placement and operations.
